X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
131505.092,126,15,3.9515,0,0,0,0,0,0.042,0.0485,0.0065
131508.057,85,10,3.9775,0,0,0,0,0,0.0181,0.0225,0.0044
131510.125,49,6,3.9738,0,0,0,0,0,0.0201,0.0262,0.0062
131512.19,44,5,3.5975,0,0,0,0,0,0.3068,0.4025,0.0957
131512.576,132,16,3.9534,0,0,0,0,0,0.0354,0.0466,0.0112
131513.22,108,13,3.9728,0,0,0,0,0,0.0205,0.0272,0.0068
131515.873,149,19,3.9584,0,0,0,0,0,0.0357,0.0416,0.0059
131518.045,135,16,3.9526,0,0,0,0,0,0.0427,0.0474,0.0048
131521.031,37,4,3.9374,0,0,0,0,0,0.0506,0.0626,0.012
131521.705,179,23,3.9373,0,0,0,0,0,0.0525,0.0627,0.0102
131521.96,41,5,3.9002,0,0,0,0,0,0.0699,0.0998,0.0299
131523.361,125,15,3.9493,0,0,0,0,0,0.0438,0.0507,0.0069
131524.635,36,4,3.9326,0,0,0,0,0,0.0588,0.0674,0.0086
131529.301,74,8,3.9527,0,0,0,0,0,0.0379,0.0473,0.0094
131530.346,38,4,3.9192,0,0,0,0,0,0.0554,0.0808,0.0255
131530.581,107,13,3.9561,0,0,0,0,0,0.0396,0.0439,0.0043
131534.374,68,7,3.9578,0,0,0,0,0,0.0334,0.0422,0.0088
131537.195,101,12,3.9713,0,0,0,0,0,0.0246,0.0287,0.0041
131540.602,180,23,3.8728,0,0,0,0,0,0.1043,0.1272,0.0229
131546.916,82,9,3.9546,0,0,0,0,0,0.0358,0.0454,0.0096
131548.166,143,18,3.9766,0,0,0,0,0,0.0183,0.0234,0.0051
131548.565,46,5,3.9004,0,0,0,0,0,0.0813,0.0996,0.0183
131550.756,30,3,3.5234,0,0,0,0,0,0.3896,0.4766,0.0869
131551.375,35,4,3.9549,0,0,0,0,0,0.0394,0.0451,0.0057
131552.794,118,14,3.9474,0,0,0,0,0,0.0321,0.0526,0.0205
131553.965,45,5,3.6772,0,0,0,0,0,0.2171,0.3228,0.1057
131554.6,80,9,3.9543,0,0,0,0,0,0.0355,0.0457,0.0102
131555.627,93,11,3.9403,0,0,0,0,0,0.0473,0.0597,0.0123
131558.081,114,13,3.974,0,0,0,0,0,0.0199,0.026,0.0061
131558.763,42,5,3.9475,0,0,0,0,0,0.0433,0.0525,0.0092
131604.758,76,8,3.9617,0,0,0,0,0,0.0299,0.0383,0.0084
131606.118,153,19,3.9632,0,0,0,0,0,0.0303,0.0368,0.0065
131607.297,99,12,3.8631,0,0,0,0,0,0.119,0.1369,0.0179
131610.106,131,16,3.9737,0,0,0,0,0,0.018,0.0263,0.0083
131611.606,121,14,3.9301,0,0,0,0,0,0.0572,0.0699,0.0127
131613.919,100,12,3.9057,0,0,0,0,0,0.0505,0.0943,0.0438
131620.522,172,22,3.9623,0,0,0,0,0,0.0298,0.0377,0.0078
131623.488,157,20,3.9581,0,0,0,0,0,0.0255,0.0419,0.0164
131623.848,148,18,3.8747,0,0,0,0,0,0.1106,0.1253,0.0147
131624.488,147,18,3.8454,0,0,0,0,0,0.1365,0.1546,0.0182
131625.308,28,3,3.8434,0,0,0,0,0,0.1167,0.1566,0.0399
131625.533,191,21,3.8368,0,0,0,0,0,0.1457,0.1632,0.0176
131625.741,139,17,3.9404,0,0,0,0,0,0.0353,0.0596,0.0243
131626.003,77,8,3.9345,0,0,0,0,0,0.047,0.0655,0.0185
131626.096,119,14,3.9395,0,0,0,0,0,0.0452,0.0605,0.0153
131626.277,178,23,3.9789,0,0,0,0,0,0.0163,0.0211,0.0048
131627.063,190,21,3.9527,0,0,0,0,0,0.0415,0.0473,0.0059
131628.026,22,2,3.9677,0,0,0,0,0,0.0271,0.0323,0.0053
131628.19,4,1,3.9615,0,0,0,0,0,0.0266,0.0385,0.0119
131632.176,189,21,3.9528,0,0,0,0,0,0.0381,0.0472,0.0091
131634.431,23,2,3.9267,0,0,0,0,0,0.0614,0.0733,0.0119
131637.319,95,11,3.9314,0,0,0,0,0,0.0584,0.0686,0.0102
131638.204,40,4,3.9425,0,0,0,0,0,0.0455,0.0575,0.012
131638.986,14,2,3.973,0,0,0,0,0,0.0205,0.027,0.0066
131639.232,138,17,3.9705,0,0,0,0,0,0.0237,0.0295,0.0058
131642.61,116,14,3.9534,0,0,0,0,0,0.0247,0.0466,0.0218
131643.544,146,18,3.9628,0,0,0,0,0,0.0328,0.0372,0.0045
131653.274,79,9,3.9732,0,0,0,0,0,0.0211,0.0268,0.0057
131653.442,173,22,3.9388,0,0,0,0,0,0.0532,0.0612,0.008
131654.297,188,7,3.9511,0,0,0,0,0,0.0358,0.0489,0.0131
131655.154,134,16,3.8864,0,0,0,0,0,0.0893,0.1136,0.0243
131657.666,115,14,3.9597,0,0,0,0,0,0.0322,0.0403,0.0081
131659.572,160,20,3.8416,0,0,0,0,0,0.1228,0.1584,0.0356
131700.187,177,23,3.8671,0,0,0,0,0,0.1158,0.1329,0.0171
131701.971,159,20,3.7336,0,0,0,0,0,0.2264,0.2664,0.04
131703.044,105,12,3.9267,0,0,0,0,0,0.064,0.0733,0.0093
131703.194,187,21,3.9401,0,0,0,0,0,0.0514,0.0599,0.0086
131704.097,170,22,3.862,0,0,0,0,0,0.1233,0.138,0.0147
131708.067,20,2,3.9201,0,0,0,0,0,0.0678,0.0799,0.0122
131710.009,151,19,3.9652,0,0,0,0,0,0.0303,0.0348,0.0046
131713.532,48,6,3.972,0,0,0,0,0,0.0218,0.028,0.0061
131713.561,144,18,3.9644,0,0,0,0,0,0.0303,0.0356,0.0053
131714.363,32,4,3.9343,0,0,0,0,0,0.036,0.0657,0.0297
131720.718,154,19,3.9655,0,0,0,0,0,0.0248,0.0345,0.0097
131720.909,91,11,3.9656,0,0,0,0,0,0.0233,0.0344,0.011
131725.088,60,7,3.9661,0,0,0,0,0,0.0271,0.0339,0.0067
131727.58,51,6,3.9358,0,0,0,0,0,0.0542,0.0642,0.01
131728.745,122,14,3.9255,0,0,0,0,0,0.0644,0.0745,0.0101
131737.091,53,6,3.9599,0,0,0,0,0,0.0257,0.0401,0.0144
131737.6,86,10,3.9403,0,0,0,0,0,0.0451,0.0597,0.0146
131738.61,113,13,3.9406,0,0,0,0,0,0.0526,0.0594,0.0068
131739.256,87,10,3.8847,0,0,0,0,0,0.0743,0.1153,0.041
131740.633,142,18,3.9143,0,0,0,0,0,0.0473,0.0857,0.0384
131741.351,21,2,3.9441,0,0,0,0,0,0.0431,0.0559,0.0128
131741.637,26,3,3.7966,0,0,0,0,0,0.0576,0.2034,0.1458
131744.27,111,13,3.9298,0,0,0,0,0,0.061,0.0702,0.0092
131746.917,12,2,3.9332,0,0,0,0,0,0.0492,0.0668,0.0176
131747.226,31,3,3.8097,0,0,0,0,0,0.0994,0.1903,0.0909
131751.635,29,3,3.8604,0,0,0,0,0,0.1111,0.1396,0.0285
131751.915,50,6,3.9777,0,0,0,0,0,0.0174,0.0223,0.0049
131752.856,136,17,3.5732,0,0,0,0,0,0.2595,0.4268,0.1673
131753.371,27,3,3.9537,0,0,0,0,0,0.0387,0.0463,0.0076
131755.053,84,9,3.9682,0,0,0,0,0,0.0256,0.0318,0.0062
131756.147,61,7,3.9611,0,0,0,0,0,0.0316,0.0389,0.0073
131758.098,128,16,3.9653,0,0,0,0,0,0.0272,0.0347,0.0075
131810.215,5,1,3.8974,0,0,0,0,0,0.0782,0.1026,0.0244
131810.728,145,18,3.9671,0,0,0,0,0,0.023,0.0329,0.0098
131810.848,96,11,3.9766,0,0,0,0,0,0.0176,0.0234,0.0058
131811.947,70,7,3.9605,0,0,0,0,0,0.0308,0.0395,0.0087
131813.134,169,22,3.9799,0,0,0,0,0,0.0158,0.0201,0.0042
131813.424,97,11,3.9573,0,0,0,0,0,0.0341,0.0427,0.0086
131814.368,78,8,3.9283,0,0,0,0,0,0.0589,0.0717,0.0128
131815.746,156,20,3.5932,0,0,0,0,0,0.3097,0.4068,0.0971
131819.877,54,6,3.9357,0,0,0,0,0,0.0524,0.0643,0.0119
131820.621,171,22,3.9661,0,0,0,0,0,0.0266,0.0339,0.0073
131820.919,176,23,3.9252,0,0,0,0,0,0.0579,0.0748,0.017
131821.133,89,10,3.9626,0,0,0,0,0,0.0291,0.0374,0.0084
131824.777,69,7,3.9439,0,0,0,0,0,0.0341,0.0561,0.022
131825.796,106,13,3.9602,0,0,0,0,0,0.0266,0.0398,0.0133
131828.219,130,16,3.9589,0,0,0,0,0,0.0292,0.0411,0.0119
131828.984,174,22,3.9559,0,0,0,0,0,0.0396,0.0441,0.0045
131831.247,34,4,3.9655,0,0,0,0,0,0.024,0.0345,0.0105
131832.818,104,12,3.9659,0,0,0,0,0,0.0269,0.0341,0.0072
131833.445,2,1,3.945,0,0,0,0,0,0.0487,0.055,0.0063
131833.468,186,21,3.925,0,0,0,0,0,0.0599,0.075,0.0151
131834.246,120,14,3.9518,0,0,0,0,0,0.0397,0.0482,0.0085
131835.956,71,7,3.9689,0,0,0,0,0,0.023,0.0311,0.0082
131837.975,92,11,3.98,0,0,0,0,0,0.0153,0.02,0.0047
131838.184,181,23,3.9232,0,0,0,0,0,0.0644,0.0768,0.0123
131842.544,110,13,3.884,0,0,0,0,0,0.1011,0.116,0.0149
131843.29,55,6,3.9579,0,0,0,0,0,0.0264,0.0421,0.0157
131843.418,127,15,3.9587,0,0,0,0,0,0.0367,0.0413,0.0046
131845.127,185,22,3.9489,0,0,0,0,0,0.0442,0.0511,0.007
131845.518,183,11,3.9295,0,0,0,0,0,0.0489,0.0705,0.0216
131849.48,8,1,3.9667,0,0,0,0,0,0.0258,0.0333,0.0074
131850.365,75,8,3.9468,0,0,0,0,0,0.0446,0.0532,0.0086
131851.228,33,4,3.9828,0,0,0,0,0,0.0129,0.0172,0.0044
131851.828,150,19,3.9761,0,0,0,0,0,0.0159,0.0239,0.008
131853.919,117,14,3.9729,0,0,0,0,0,0.0222,0.0271,0.0049
131856.173,90,11,3.9615,0,0,0,0,0,0.0322,0.0385,0.0063
131901.039,7,1,3.9383,0,0,0,0,0,0.0551,0.0617,0.0067
131902.024,184,21,3.9632,0,0,0,0,0,0.0295,0.0368,0.0073
131902.263,24,2,3.973,0,0,0,0,0,0.0204,0.027,0.0066
131905.017,168,22,3.9725,0,0,0,0,0,0.0221,0.0275,0.0054
131905.663,83,9,3.9313,0,0,0,0,0,0.0569,0.0687,0.0118
131907.41,1,1,3.9685,0,0,0,0,0,0.0255,0.0315,0.006
131908.747,3,1,3.9513,0,0,0,0,0,0.0361,0.0487,0.0126
131911.389,25,3,3.9736,0,0,0,0,0,0.0185,0.0264,0.0079
131917.8,155,20,3.3995,0,0,0,0,0,0.4529,0.6005,0.1476
131921.359,52,6,3.956,0,0,0,0,0,0.0278,0.044,0.0161
131921.952,98,11,3.9456,0,0,0,0,0,0.046,0.0544,0.0084
131923.121,47,5,3.96,0,0,0,0,0,0.0249,0.04,0.0151
131927.878,182,23,3.8955,0,0,0,0,0,0.0794,0.1045,0.0251
131934.089,175,22,3.961,0,0,0,0,0,0.0305,0.039,0.0085
131938.704,6,1,3.9427,0,0,0,0,0,0.0499,0.0573,0.0073
131941.167,124,15,3.9697,0,0,0,0,0,0.0248,0.0303,0.0055
131944.43,102,12,3.9559,0,0,0,0,0,0.0358,0.0441,0.0082
131945.916,152,19,3.9425,0,0,0,0,0,0.0467,0.0575,0.0108
131950.136,88,10,3.9583,0,0,0,0,0,0.0352,0.0417,0.0065
131951.137,72,8,3.9753,0,0,0,0,0,0.0195,0.0247,0.0052
131951.431,103,12,3.958,0,0,0,0,0,0.0328,0.042,0.0092
131951.688,158,20,2.2155,0,0,0,0,0,0.9469,1.7845,0.8376
131958.031,141,17,3.9443,0,0,0,0,0,0.0474,0.0557,0.0083
131958.292,109,13,3.9518,0,0,0,0,0,0.0386,0.0482,0.0096
131958.953,161,20,3.8984,0,0,0,0,0,0.0724,0.1016,0.0291
